rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
2144	C15H16N6O10	[M - H]-	C15H16N6O10	0.044221105527638194	15.04457756434474	15.04457756434474	0.0	6	0.7568736484399134	-2.9029631177251414	3.2786567720432376	0.42301557646032517		439.08570	173.408	56_6_Brassimet_Leaves_PAXs_1_Neg_1425
2145	C18H34N7O9PS2	[M + Na]+	C18H34N7O9PS2	0.043718592964824124	81.66133395838334	81.66133395838334	0.0	46	0.9057174271577793	0.07975166730542531	2.3119066098773615	-2.1716025605402502		610.14760	90.664	457_6_Brassimet_Leaves_PAXs_17_Pos_4107
2146	C22H23N5O9	[M + K]+	C22H23N5O9	0.043718592964824124	32.944032733303324	32.944032733303324	0.0	25	0.45924132364810344	-2.052965786900649	3.3430530258468565	-0.8061584425456368		540.11230	63.77	1237_6_Brassimet_Leaves_PAXs_31_Pos_5915
2147	C32H45N9O9S3	[M + H]+	C32H45N9O9S3	0.043216080402010054	33.19533771196406	33.19533771196406	0.0	13	0.9701585476840543	-1.398383850399784	1.621628138696199	-5.919567366724854		796.25280	152.738	995_6_Brassimet_Leaves_PAXs_27_Pos_5179
2148	C25H22N10O10	[M + H]+	C25H22N10O10	0.043216080402010054	29.491430432098603	29.491430432098603	0.0	22	0.7727426445722015	0.7475319392852656	3.163830114829126	-2.10758120807798		623.15800	192.276	967_6_Brassimet_Leaves_PAXs_26_Pos_5069
2149	C16H35NO11	[M + H]+	C16H35NO11	0.03819095477386935	47.188757417281714	47.188757417281714	0.0	21	0.9208722741433023	-2.497837831479505	4.100657540252781	0.030145997799764852		418.22830	172.195	2423_6_Brassimet_Leaves_PAXs_53_Pos_3355
2150	C22H21N11O9	[M + H]+	C22H21N11O9	0.03718592964824122	52.51711297910678	52.51711297910678	0.0	31	0.8036707452725249	-0.742880418165484	2.781115536994735	-3.847771320624368		584.15740	217.885	894_6_Brassimet_Leaves_PAXs_25_Pos_4892
2151	C13H23N2O9P	[M + H]+	C13H23N2O9P	0.03618090452261307	22.245869905755626	22.245869905755626	0.0	7	0.8608689172069452	1.902334103284956	2.300293672316096	-14.599758325094319		383.11580	37.8	2175_6_Brassimet_Leaves_PAXs_49_Pos_2883
2152	C17H27N10O9PS2	[M - H]-	C17H27N10O9PS2	0.036180904522613064	18.401822120727008	18.401822120727008	0.0	14	0.6081582200247219	1.1008661021850532	2.46461202547368	1.8475838284701016		609.10800	189.712	1158_6_Brassimet_Leaves_PAXs_3_Neg_601
2153	C16H17NO9	[M + H]+	C16H17NO9	0.035678391959799	32.919863363927455	32.919863363927455	0.0	18	0.9470146302886516	-3.1131000839716405	3.1944908210045018	-1.6505869119950065		368.09700	126.187	1247_6_Brassimet_Leaves_PAXs_31_Pos_1523
2154	C12H13N2O5P	[M + H]+	C12H13N2O5P	0.03467336683417086	37.23015770049396	37.23015770049396	0.0	27	0.8873109188189443	-3.641552713212027	4.310302077563067	-8.36393229193741		297.06100	245.118	1533_6_Brassimet_Leaves_PAXs_37_Pos_1668
2155	C23H43N2O7PS	[M - H]-	C23H43N2O7PS	0.034170854271356785	18.11517676315372	18.11517676315372	0.0	17	0.6579218106995884	-0.6782065107554544	3.8590730052807647	-5.722659486122932		521.24260	396.633	2489_6_Brassimet_Leaves_PAXs_6_Neg_929
2156	C32H34N2O13	[M + K]+	C32H34N2O13	0.033668341708542715	103.5118350692188	103.5118350692188	0.0	42	0.7412149278125848	0.17226271057280534	1.8536576114655543	-0.35669236568807877		693.16900	300.097	1645_6_Brassimet_Leaves_PAXs_39_Pos_2000
2157	C25H41N7O15	[M + H]+	C25H41N7O15	0.033668341708542715	56.11148385190782	56.11148385190782	0.0	38	0.863894139886578	-0.7759675734788452	2.737969004863108	3.3220887379738038		680.27560	365.236	732_6_Brassimet_Leaves_PAXs_21_Pos_4440
2158	C17H25N14O10PS	[M - H]-	C17H25N14O10PS	0.033668341708542715	39.66940052295129	39.66940052295129	0.0	18	0.5946666666666667	1.2617461829342522	2.4649392691334437	-0.7172915031231374		647.12590	439.881	2221_6_Brassimet_Leaves_PAXs_5_Neg_788
2159	C10H20N5O4S	[M + H]+	C10H20N5O4S	0.032663316582914576	103.29459960409949	103.29459960409949	0.0	43	0.7973708068902992	-0.8025915580236334	5.464439135885378	4.634575749467059		307.13230	198.721	1306_6_Brassimet_Leaves_PAXs_32_Pos_6225
2160	C24H22N4O8	[M + K]+	C24H22N4O8	0.032663316582914576	39.65392023238594	39.65392023238594	0.0	22	0.8007876154263991	3.141868949588037	3.141868949588037	-7.3564847514984235		533.10300	40.224	488_6_Brassimet_Leaves_PAXs_17_Pos_1380
2161	C25H32N12O10	[M + H]+	C25H32N12O10	0.032663316582914576	30.306660205186297	30.306660205186297	0.0	22	0.710042664916311	-3.221578968353401	5.362550949361871	-1.983653937640696		661.24240	102.238	869_6_Brassimet_Leaves_PAXs_24_Pos_4853
2162	C13H25N8O11PS2	[M + H]+	C13H25N8O11PS2	0.03115577889447237	67.71303115105658	67.71303115105658	0.0	46	0.8329326923076924	0.6224381119665277	2.565550341400364	-5.23583927504114		565.08650	131.877	2624_6_Brassimet_Leaves_PAXs_9_Pos_3462
2163	C30H31NO13	[M + K]+	C30H31NO13	0.030653266331658297	44.97887488193969	44.97887488193969	0.0	32	0.7776246023329801	-1.4650628478182446	1.7873564859081732	12.423273741925154		652.15080	474.22	361_6_Brassimet_Leaves_PAXs_15_Pos_3954
2164	C30H33NO18	[M + H]+	C30H33NO18	0.030150753768844223	24.00780136754774	24.00780136754774	0.0	16	0.7088933718980139	-0.25503202656909907	0.3611882892162377	0.9485105732776635		696.17770	291.352	246_6_Brassimet_Leaves_PAXs_13_Pos_3832
2165	C14H32N4O9P2S2	[M + H]+	C14H32N4O9P2S2	0.02964824120603015	34.65532707781739	34.65532707781739	0.0	36	0.6867943053510063	1.3891006881913235	2.0882245887778073	-0.7025331078770194		527.11550	168.17	1238_6_Brassimet_Leaves_PAXs_31_Pos_5925
2166	C32H37NO15	[M + K]+	C32H37NO15	0.02914572864321608	36.64051447814067	36.64051447814067	0.0	30	0.81894383906119	1.655177353116815	2.7187244746618124	13.193170475483862		714.18890	254.991	1046_6_Brassimet_Leaves_PAXs_28_Pos_5327
2167	C29H38N8O9	[M + H]+	C29H38N8O9	0.02864321608040201	72.22761043067095	72.22761043067095	0.0	47	0.9053996295768623	-0.6855372891278878	3.2790229756085965	-10.961459320649087		643.27640	697.369	418_6_Brassimet_Leaves_PAXs_16_Pos_4062
2168	C36H36O19	[M + H]+	C36H36O19	0.02814070351758794	43.38793775974015	43.38793775974015	0.0	13	0.8742051846417218	-0.7466917347040579	1.221707313796847	0.8337063444060396		773.19300	272.436	706_6_Brassimet_Leaves_PAXs_21_Pos_1410
2169	C24H30N8O13S	[M + H]+	C24H30N8O13S	0.027135678391959805	80.27639511024829	80.27639511024829	0.0	42	0.7739504843918191	1.2690049190192192	2.8303424064383904	-8.761567119692854		671.16670	219.246	2629_6_Brassimet_Leaves_PAXs_9_Pos_3485
2170	C26H22N4O12	[M + H]+	C26H22N4O12	0.02663316582914573	76.41699999765316	76.41699999765316	0.0	38	0.7649170031404218	1.3396558398837672	3.1919804024007323	2.4032357497383905		583.13210	209.892	1725_6_Brassimet_Leaves_PAXs_40_Pos_2096
2171	C19H25N9O10S3	[M - H]-	C19H25N9O10S3	0.02663316582914573	27.61484454215213	27.61484454215213	0.0	23	0.6411569749924678	1.0243665287911308	2.779136109199413	-1.8523649049222672		634.08020	67.603	613_6_Brassimet_Leaves_PAXs_2_Neg_1051
2172	C13H19NO8	[M + H]+	C13H19NO8	0.026130653266331662	40.39395653707175	40.39395653707175	0.0	17	0.8773134759976866	-2.6136632632185264	4.271947482832905	0.1791154158829876		318.11840	192.613	756_6_Brassimet_Leaves_PAXs_22_Pos_4496
2173	C22H28O14	[M + H]+	C22H28O14	0.02562814070351759	43.98832728063881	43.98832728063881	0.0	10	0.8967566649685855	-3.487743327679251	3.487743327679251	-0.3519797556533605		517.15500	106.243	1463_6_Brassimet_Leaves_PAXs_35_Pos_901
2174	C16H26N5O13PS	[M - H]-	C16H26N5O13PS	0.024120603015075383	40.23450411348211	40.23450411348211	0.0	33	0.6966192170818504	4.98114606855463	4.98114606855463	6.509520317403133		558.09490	67.967	1660_6_Brassimet_Leaves_PAXs_4_Neg_641
2175	C24H38O10	[M + Na]+	C24H38O10	0.024120603015075376	6.928778365783739	6.928778365783739	0.0	3	0.1062753036437247	-0.677831093196549	1.0174396634759457	-0.4283206699779742		509.23550	847.702	2630_6_Brassimet_Leaves_PAXs_9_Pos_3486
2176	C28H29NO16	[M + H]+	C28H29NO16	0.02361809045226131	36.21105385108608	36.21105385108608	0.0	28	0.7411471180289755	-1.347293373250075	1.4719609534136175	-0.1733853414032715		636.15580	458.365	287_6_Brassimet_Leaves_PAXs_13_Pos_3873
2177	C20H26N12O14	[M - H]-	C20H26N12O14	0.023115577889447236	70.51254163156361	70.51254163156361	0.0	33	0.6398644485520641	-5.312520433578149	5.521688210017608	-6.493206362471191		657.15760	261.085	1706_6_Brassimet_Leaves_PAXs_4_Neg_742
2178	C19H18N2O3	[M + H]+	C19H18N2O3	0.023115577889447236	40.59119025972461	40.59119025972461	0.0	32	0.7337204479469099	-2.419210627127628	2.6035073365748094	0.5604764433170298		323.13920	386.913	1948_6_Brassimet_Leaves_PAXs_44_Pos_2441
